"city","area","population","weighted_density","n_per_hex","H_X","H_Y","I_XY","local.H_Y","J","weighted_J"
"Atlanta",1912.78202736203,1594143,1739.09419267252,2.84328037784457,6.69931024137469,1.18030503962139,0.517546472634894,0.758084635141651,0.261223220341655,0.401295574004986
"Austin",6513.15026320021,1554353,1795.82881770039,1.75962748552731,6.65849233831288,1.14284619647946,0.255755025758469,0.946548139456684,0.0947143701791514,0.256690824111053
"Baltimore",216.386874037099,632188,6073.10770569681,6.7680608365019,6.3590007660312,0.976456497275282,0.434649799233114,0.673248825707253,0.52318453632003,0.61157236948167
"Boston",154.868800491255,738536,11387.715371842,7.58793969849246,6.33956476170234,1.35251208494204,0.489725819092456,1.01223835866324,0.716157531392477,0.724574969124179
"Chicago",2513.25193775868,5257668,6021.66820676352,4.727420402859,8.19822307065825,1.30475328010945,0.628654290681498,0.790519893729112,0.381754167758296,0.481678224094497
"Dallas",8689.07313042284,3950248,2452.39213872104,2.14728901461575,7.73549519967726,1.28958253656312,0.410045996382665,0.981535324150435,0.176373730050846,0.443248785097597
"Denver",392.90852713715,594806,3460.38710842248,3.63522012578616,6.05480342591105,1.18687183274091,0.35934852510045,0.916026567222245,0.262366194613221,0.407257085859458
"Detroit",1633.6420871625,1906119,2347.29411447959,3.9531639262581,7.38979177275954,1.08660779863325,0.592487963833288,0.580285232049402,0.313058555564692,0.397648917030202
"Houston",8509.09853065766,5001757,2472.63886630157,2.2031085100259,7.66752650351067,1.30855391402155,0.405915821676952,0.97929727832793,0.17658795805029,0.362445634262741
"Indianapolis",1035.41007917597,913467,1561.76662911489,3.12150279776179,6.29692808783925,1.08306138526392,0.320261341257202,0.860454730441546,0.309086199118596,0.407512955243661
"Jersey City",128.051302636648,636644,14753.5174384127,6.85897435897436,5.99012355062891,1.34550411215477,0.41386534128284,1.04892971146191,0.450676396272163,0.601776533506541
"Los Angeles",9320.32667859639,10062556,6453.87201330395,2.71925063468441,8.64469639433164,1.30981744299112,0.444372369646721,0.948821291978826,0.150638726285968,0.398946118335033
"Memphis",1742.75363793544,936029,1563.24347351552,2.33380681818182,6.30873577958913,1.051470918675,0.444887272716621,0.692229270574512,0.220953033810643,0.391488439053765
"Miami",9829.63996676214,5575807,3817.97433915028,1.93310657596372,7.98165813299006,1.22460230717163,0.470853940765093,0.890643023015554,0.109879083105224,0.285743976021888
"New York City",578.761277693785,7804464,31354.7225418861,15.3145743145743,8.58710642038553,1.44231715551356,0.608053475450407,0.977474042077998,0.630924533924271,0.655695832758665
"Newark",337.962378319888,803817,6570.87759618393,5.37897310513447,6.41336962177961,1.30592259027664,0.58262077910632,0.85597997501391,0.385409590109515,0.556806121801132
"Philadelphia",318.743192225014,1535305,9448.82049739832,8.22564102564102,7.08524171211612,1.26798341409806,0.575223506294017,0.829620723024374,0.566043406702213,0.678822950913103
"Phoenix",19076.6677111365,3844609,2400.978356196,1.50304233375049,7.72708299777065,1.06941118758817,0.287726590051998,0.866293326154134,0.0635296986504363,0.343962813863355
"Pittsburgh",1924.34927167556,1244542,2075.8913115177,2.97827013208351,6.87537315762916,0.718228192589576,0.266537040133361,0.541625181846562,0.188058104832671,0.37490669237749
"Providence",1146.54645163242,645828,3380.28344593535,2.42775800711744,6.1206754029246,1.04799875045846,0.344969135572758,0.826660419937702,0.144421199210629,0.475749320226413
"Richmond",155.680076703217,207205,2675.57576438016,3.72020725388601,4.97425134451447,1.11422115920426,0.420717432348732,0.798219219603751,0.422097623186513,0.50933587376652
"San Diego",10029.1991119341,3147488,3606.65907197035,1.67764227642276,7.31362512325118,1.26513876992517,0.297121438737862,1.04439595239252,0.0770226520833122,0.34198695761937
"San Francisco",8188.00893677402,5976158,5255.99753148584,2.3583482231487,8.13090221656739,1.41313276798249,0.336194170941315,1.17068477477083,0.141499509073501,0.402577115073799
"San Jose",3227.11884417846,1807128,4006.53090373413,2.01218892839005,6.86637039919242,1.33571952486462,0.286363563385954,1.13507120218304,0.102087522827044,0.381554834232558
"Seattle",6391.78870462286,1963155,2472.41588548297,1.85227272727273,7.19724271653771,1.14672985694035,0.216806950451985,1.02376225047199,0.0958424507790032,0.35722749784114
"St. Louis",162.021814512322,326377,3482.01869878198,5.74093264248705,5.80535741190924,1.06835340961987,0.454749284175517,0.737372041557836,0.477808815178905,0.566001246458588
"Washington DC",161.956110040816,595046,8024.03022131136,6.42639593908629,5.99964188941724,1.15860757455221,0.453371493688066,0.79978840673665,0.397327549900704,0.43595597485163
