"city","area","population","weighted_density","n_per_hex","H_X","H_Y","I_XY","local.H_Y","J","weighted_J"
"Vallejo-Fairfield",2238.668468116,451072,2319.24811567042,1.54372484449323,5.53225408644512,1.49386406051647,0.223663399648207,1.34879792266362,0.0846935796943132,0.349656827104319
"Trenton",594.099402099774,377135,2770.90580675453,2.43213296398892,5.35245097453837,1.28908630231204,0.420009991417493,0.957770473817752,0.196038238047307,0.359828125079675
"Tampa-St. Petersburg-Clearwater",5979.64011919962,2926289,1716.48722546982,2.28713817586019,7.45707291927887,1.06981457606595,0.267449614250301,0.883663306715564,0.157952505555633,0.316595553134849
"Stockton-Lodi",3572.30911272089,753301,2546.23999387093,1.5401376146789,5.74716787638082,1.36258342131968,0.230900288228161,1.1965706462516,0.0728923928002552,0.296881631486786
"Seattle-Tacoma-Bellevue",16531.5440463655,3761431,2309.72990139646,1.66274722030896,7.74017116752357,1.15411468169142,0.207150590323869,0.672494692473428,0.069313782473534,0.0564610196950226
"Santa Cruz-Watsonville",1106.26402679901,278351,2477.63128263155,1.82791728212703,5.15483702798669,1.02996052703093,0.281937603716586,0.818719196651027,0.0755532431212967,0.269796892065241
"San Jose-Sunnyvale-Santa Clara",6649.52267931171,1984560,4318.89183091595,1.54605829541262,6.89982113623447,1.34915787356308,0.283531946320296,1.14061400484747,0.0491339810796398,0.339017372114822
"San Francisco-Oakland-Hayward",6316.90006284922,4707176,5872.20236222256,2.36834016393443,7.85607011421207,1.43783075564227,0.323062448506478,1.18059070413161,0.129901373018457,0.335030357355733
"San Diego-Carlsbad",10047.4706698542,3337541,3782.81406648377,1.68491474259607,7.30398635383762,1.28596667391985,0.28991207139631,1.06518282955775,0.0777637723857376,0.320176432090333
"Raleigh",5211.24804493862,1216561,949.70440575429,1.72485114384206,6.18555808038011,1.12958111058898,0.243504505341894,0.94799589858339,0.126813711543479,0.250503725376864
"Racine",915.114480932506,200514,1495.04351416661,1.8199268738574,5.0381945412045,0.917649953410684,0.247699942133356,0.776194424986813,0.0919013524397282,0.361568220095878
"Providence-Warwick",4450.41820300166,1648039,2206.30475302412,2.11387314933285,6.97598761430032,0.843274686784066,0.254944093766199,0.673517823373204,0.106706222132361,0.327669449343338
"Philadelphia-Camden-Wilmington",12064.7658564693,6156322,3733.29970797021,2.30781123958053,8.24306751068718,1.10620417060642,0.406300682296351,0.78984831012377,0.147498275876209,0.399360947027819
"Palm Bay-Melbourne-Titusville",2811.26077986207,563818,1039.83763353469,1.5988388969521,5.6075799915221,0.886695949080692,0.158942107232983,0.774415218522191,0.0759832661276352,0.221544521303144
"Orlando-Kissimmee-Sanford",8956.88593274186,2293487,1344.85854827835,1.53968544257498,6.35837125333886,1.24917573542608,0.255213214452114,1.04098604749253,0.0764915026673073,0.217479860588749
"North Port-Sarasota-Bradenton",3099.82847623375,734771,1210.2345098781,1.68405873099109,5.93685773635433,0.793204970285971,0.212330844565471,0.680334294637471,0.0751185103082575,0.231142095835505
"New York-Newark-Jersey City",23199.5650293815,20423215,15323.7756722948,2.74003581837975,9.48779333464149,1.33572235851803,0.520009011653565,0.942039254889453,0.182089867295494,0.481503237513363
