name,density,weighted_density
Abilene,26.4373502452682,0.247627341675213
Akron,296.881149655971,0.678764521330714
Albany,25.5949823959344,0.165239111326942
Albany-Schenectady-Troy,116.201805192395,0.221478596211631
Albuquerque,41.551026950338,0.0953624212649705
Alexandria,33.4583874387668,0.395390796067651
Allentown-Bethlehem-Easton,220.223000692467,0.471373118475481
Altoona,93.6925638992778,0.938118457513857
Amarillo,21.0751066747707,0.132133864546891
Ames,61.6449746820671,1.39180253659181
Anchorage,3.78397195723543,0.0199863024735347
Ann Arbor,190.22505820738,0.989765410078554
Anniston-Oxford-Jacksonville,89.0140294895718,1.21570126640289
Appleton,81.0819103450226,0.600713640312756
Asheville,94.6521193316492,0.393637376851847
Athens-Clarke County,81.2262899469333,0.863072405159592
Atlanta-Sandy Springs-Roswell,265.655786931716,0.138184847576661
Atlantic City-Hammonton,182.29358883274,1.34794625277345
Auburn-Opelika,103.790993831342,1.75908507988498
Augusta-Richmond County,71.5461841522263,0.269876683552539
Austin-Round Rock,192.205966752443,0.27504430996994
Bakersfield,44.5989664861263,0.143462813445689
Baltimore-Columbia-Towson,414.647847055724,0.277611500793953
Bangor,22.9626762923816,0.236627781926076
Barnstable Town,184.720052120113,1.18358836438926
Baton Rouge,85.8006705931034,0.239032518298531
Battle Creek,72.6395450689227,0.71546815495913
Bay City,90.1832504142459,1.14456969903764
Beaumont-Port Arthur,56.0525546584213,0.231521851878565
Beckley,39.4218062206991,0.506327177695084
Bellingham,33.1379564632922,0.402882638797458
Bend-Redmond,19.989584371778,0.327555090279512
Billings,10.0077998852353,0.0927744604845323
Binghamton,77.261186676231,0.388553562900426
Birmingham-Hoover,90.4817348582345,0.149180840013837
Bismarck,7.82777724242456,0.115591020282097
Bloomington,58.1981870329627,0.326796590979838
Bloomsburg-Berwick,52.8832720336176,0.896888758996857
Boise City,20.5712140159917,0.12579953042348
Boston-Cambridge-Newton,492.209487939566,0.176594139401481
Boulder,165.064625083996,1.05305157302744
Bowling Green,40.6825427656846,0.488042845844359
Bremerton-Silverdale,215.363032523691,1.4672111077483
Bridgeport-Stamford-Norwalk,559.654476955501,1.0010767104325
Brownsville-Harlingen,203.416930865934,1.43061014267973
Brunswick,37.9846081518713,0.749174701651665
Buffalo-Cheektowaga-Niagara Falls,270.781469959055,0.359002084298836
Burlington,149.113871936151,1.55465693152662
Burlington-South Burlington,52.4824788113854,0.437516419801414
California-Lexington Park,117.547855446081,2.71834622378629
Canton-Massillon,162.825162275786,0.686987186673446
Cape Coral-Fort Myers,349.358999554385,1.02775722958988
Cape Girardeau,27.2742420651114,0.426223987195611
Carbondale-Marion,49.6994391181407,0.57799732021412
Carson City,151.524969459705,4.12525624158686
Casper,5.59448221352742,0.142027427346512
Cedar Rapids,49.5617253548065,0.37385009413215
Chambersburg-Waynesboro,77.0958249990208,1.00748698923964
Champaign-Urbana,48.0955779252752,0.372459804928302
Charleston,53.4265683853015,0.327850160469935
Charleston-North Charleston,113.566845248817,0.417323126113779
Charlotte-Concord-Gastonia,187.985081738696,0.17964364077136
Chattanooga,106.766158284132,0.361513930700083
Cheyenne,13.8071959375741,0.244577910329384
Chicago-Naperville-Elgin,506.403097490006,0.104175687571322
Chico,54.8200057433346,0.339112785830167
Cincinnati,201.801464712382,0.172475282120683
Clarksville,66.7202985414051,0.639788843587837
Cleveland,63.9955711064034,1.12848510139703
Cleveland-Elyria,399.044343220398,0.311193335600854
Coeur d'Alene,37.850389173072,0.804684499014227
College Station-Bryan,49.0374388302489,0.474278210262051
Colorado Springs,104.084303307643,0.391104132058106
Columbia,91.4467908627091,0.235799576372043
Columbus,132.454790106805,0.113459772224163
Corpus Christi,133.209163041239,0.54665592814438
Corvallis,47.2629548785808,0.912318851487538
Crestview-Fort Walton Beach-Destin,53.0056274823111,0.464949389558029
Cumberland,53.0827267979321,0.886415918306048
Dallas-Fort Worth-Arlington,304.809393172418,0.0964622979244125
Dalton,94.7841015684086,1.18201856757132
Danville,35.1407515928482,0.60146046373792
Daphne-Fairhope-Foley,50.3573801644395,0.73041817145144
Davenport-Moline-Rock Island,64.133317591886,0.245934251143434
Dayton,247.154834699076,0.513036480577478
Decatur,58.3068517599901,0.361738243510643
Deltona-Daytona Beach-Ormond Beach,151.771655360018,0.576144656131462
Denver-Aurora-Lakewood,128.199228073923,0.0917168703961439
Des Moines-West Des Moines,78.6557860641867,0.292703495609011
Detroit-Warren-Dearborn,408.493670964305,0.146081654881585
Dothan,37.3958923131313,0.416921903533906
Dover,114.494693476251,2.03676781336653
Dubuque,59.3165817675948,0.893988382521065
Duluth,10.994693183563,0.046676917872942
Durham-Chapel Hill,121.783782084217,0.526071704171929
East Stroudsburg,106.921410444638,1.41550581330175
Eau Claire,35.5038326647998,0.38765978256178
El Centro,17.4715895220266,0.283135086717532
Elizabethtown-Fort Knox,51.3697591786069,0.661618651837832
Elkhart-Goshen,165.334304879897,1.76193941833891
Elmira,84.0356363808465,1.14797464306457
El Paso,65.3110518884893,0.184098633454571
Erie,133.903071103933,0.668860547131959
Eugene,29.2410341318377,0.133293951512839
Evansville,84.7898782280024,0.417048477919493
Fairbanks,3.28841728575132,0.0845704046611366
Fargo,27.4019025514493,0.558610456818327
Farmington,9.66705603016021,0.123868878250422
Fayetteville,179.591342492467,1.06851702616987
Fayetteville-Springdale-Rogers,63.10078273848,0.282332170638285
Flagstaff,3.08775385180082,0.0395421178720819
Flint,247.326600374683,0.840654501873691
Florence,64.003750203919,0.488375062542304
Florence-Muscle Shoals,46.324521495922,0.488075307589208
