nclust,area,population,density,H_Y,J_XY,Atlanta,Philadelphia
2,321.771461,1579107,4907.54212661514,1.31318372801078,0.139563944764266,NA,0.08
2,2049.888312,1709484,833.940068828491,1.22345199104242,0.0636494510880551,0.27,NA
5,321.771461,1579107,4907.54212661514,1.31318372801078,0.139563944764266,NA,0.29
5,2049.888312,1709484,833.940068828491,1.22345199104242,0.0636494510880551,0.31,NA
10,321.771461,1579107,4907.54212661514,1.31318372801078,0.139563944764266,NA,0.36
10,2049.888312,1709484,833.940068828491,1.22345199104242,0.0636494510880551,0.34,NA
