density,info,entropy,n
2.06917416016334,0,0,1
2.06917416016334,0,0,1
2.06917416016334,0,0,1
5.04273980965883,0,0,2
5.04273980965883,0,0,2
5.04273980965883,0,0,2
2.06917416016334,0,0,1
2.06917416016334,0,0,1
1306.49247618336,0.00657726205870465,1.1295354403889,2
1306.49247618336,0.00657726205870465,1.1295354403889,2
3.63319077145785,0,0,3
3.63319077145785,0,0,3
6281.01606385219,0.984401587021461,1.21085083602775,7
3753.48981261622,0.240047245239431,1.19042380575225,4
4.41519907710511,0,0,2
0.814092695055903,0,0,1
1397.34980408294,1.02939923224407,0.967466005632311,5
3721.78406070712,0.497864264167088,1.08601715785224,6
3809.15463551386,0.483533238543685,1.17054359254391,6
4.41519907710511,0,0,2
0.814092695055903,0,0,1
0.814092695055903,0,0,1
3342.51226171355,0.175586772974499,0.298196788528594,7
3765.81671427225,0.104252535374324,0.251871530988791,6
556.590863815299,0.0102709004793811,0.157541230011689,2
0.814092695055903,0,0,1
0.814092695055903,0,0,1
0.814092695055903,0,0,1
2.3163535661797,0,0,1
2979.23137926955,0.797720716711381,1.42369443228639,3
4066.38746073113,0.707696941213121,1.15827243829976,7
1821.8900588429,0.307765751085484,0.443566576863005,4
2747.04504283883,0.216674088394035,0.369103324891338,4
1510.49843994141,0.221474418298639,0.283481428855459,4
392.8151758785,0.671455652175815,0.319747759994885,3
212.956815342528,0.0677353624084805,0.347506405426548,3
286.803323011341,0.00048340923642138,0.338875571788598,2
2.3163535661797,0,0,1
1157.22248779056,0.00212526783579289,0.925510369622275,2
1637.37703876913,0.443847719659772,0.811988194780247,4
1113.68893967681,0.536900885089357,0.796380067154387,4
2469.54014553805,1.42078554273849,1.08937508863717,8
1303.45531489967,1.22911960226851,0.677292173485976,3
1161.25300693717,0.478063908315257,0.557174233273736,4
455.343191924671,0.132828970498853,0.406491414935815,3
455.343191924671,0.132828970498853,0.406491414935815,3
434.36070977843,0.110487390672069,0.40592350431185,3
287.554453446903,0.00136999313019625,0.338199804595823,2
2.3163535661797,0,0,1
2.3163535661797,0,0,1
1157.22248779056,0.00212526783579289,0.925510369622275,2
1157.22248779056,0.00212526783579289,0.925510369622275,2
3614.74604751093,0.360894449516171,0.469487343978379,5
2937.06591897482,1.37085551392645,0.801316015649266,5
1893.61077171758,1.29984113412778,1.05475667040287,7
1734.80825048019,0.749401462606145,1.00232711653289,5
1354.63956141767,1.47989458965806,1.05154676269973,5
1414.51595939888,1.59513734211364,0.846693882839335,3
1094.212547595,1.0623439427577,0.719313223908387,5
2219.45156298197,0.670651318972445,0.937255971703969,4
8403.48787285377,0.625587800033049,0.733949171821676,9
5556.93542969205,0.226674265558303,0.422604965842918,8
1173.73625365892,0.264010960278793,0.683375099033548,5
1354.80234158429,0.100602917552808,0.416110857205468,4
1060.92402406702,0.255879465853886,0.546761413606173,5
113.708055968897,0,0,2
2.3163535661797,0,0,1
3342.30979923192,0.250418966692771,1.30850524554516,4
1834.0095819465,0.384870405446397,1.12855832463421,4
6299.35564907678,0.136718940670381,0.335913213743956,5
5635.00212132377,0.249170583952651,0.377877076272093,7
3523.30268295519,0.601350993243387,0.378294878072944,7
4671.65489588183,0.855754921398806,0.419924427150342,8
3671.68557512855,0.826102941163281,0.809042183441061,7
5603.04502688218,0.843732591519915,0.996382231174282,11
5623.81971142702,0.806127187754055,1.03989865741479,9
4120.67075223143,0.735290723405921,1.17611717311886,7
4047.7926422959,0.694470121587585,0.928387364700578,8
2718.05670991058,1.46479337107653,0.993784243785137,4
5954.74024342677,0.785788907998236,1.06534294871272,7
6992.59769560135,0.451015501211126,0.675486719310187,8
7020.85534703025,0.590456490655392,0.62407682839477,11
4057.05871018397,0.777079929863932,0.850191446764635,7
4555.01963603113,0.464472211934284,1.10462558912947,6
3360.03168442106,0.881124667308146,1.28587112387204,7
2252.64492905871,0.876000947303269,1.10531829668953,5
3885.8691207467,0.581417664417046,0.663924991361726,8
5380.94493685663,0.384301026955776,0.22878939187046,7
6754.44244845725,0.194279765777415,0.151417704378219,12
6427.23620068978,0.640526990631609,0.334797738717618,7
6465.52461324643,0.304038819049845,0.264513242148803,12
6484.97047924407,0.672160273047923,0.506584190662283,15
5947.52153046357,1.0849798537787,0.778576747959588,12
5014.87566236495,1.47101819115628,1.04239767460036,10
5974.67609112997,0.350261945729908,1.08073248038574,5
3092.80806869261,1.40583516896362,1.06092995999731,6
6739.28221979723,1.64558521371394,1.34040094776364,15
10743.6340529448,1.2890475897214,1.22479466231372,13
11040.7240943134,1.57011475198714,1.18010009686234,16
6143.71512960079,1.36016236932111,1.15563423010377,11
3248.49278946678,0.529325129386992,0.999759749206968,6
2395.54588379134,0.250285383723759,0.9558784479411,3
1113.28048209575,0.154473096726438,0.982846424943086,2
3740.85086668379,0.462081947400927,0.499905108105661,5
5040.00432501829,0.287972415411361,0.258032538669617,10
7339.89182901862,0.144470282203076,0.183719316670358,9
6518.99538934445,0.522540536117878,0.303146675536801,13
5207.29570965031,0.20347682394865,0.149823480949842,11
6502.73035716309,0.13947269793626,0.110388897465082,15
7743.25062667508,0.239958465875672,0.219692123968889,14
7821.21985181588,0.409109345868429,0.385809929676463,13
6709.02914773996,1.2443227927747,1.14849560323429,9
8969.61300202673,1.31027259227409,1.02687198720632,12
6474.05986017689,0.372834713056531,0.396524474102478,12
4595.82442951545,0.703549622902589,0.598336747826089,12
11039.5298553752,1.10871809797572,0.729834060946354,21
7198.86018180768,1.59154224675703,0.980411814799699,10
1828.25850695603,1.21461873308336,1.3338703109495,3
2380.32049895966,0.88668941357498,1.18287882537741,6
794.071078600926,0.00982661215002317,1.10929722609096,2
745.123358702067,0.159409638161392,0.98028123339662,3
1368.6807201863,0.323820992009484,0.494076570774947,4
1607.55977754047,0.314546088905163,0.445937015872986,4
2314.65875273275,0.180065145772123,0.211685638571718,8
3563.63047492039,0.247150446850041,0.171679967933584,10
6063.9110985192,0.177944566388276,0.110128596231246,15
5288.37343505145,0.388650613107039,0.24039172997736,11
7212.347062108,0.0777599248203885,0.0726253984798146,13
7071.93410257014,0.534342649426272,0.423547796037784,16
7841.94727575053,1.21000618876092,0.964912258788988,14
5943.58883326099,0.875225555573913,1.17667326864717,7
5623.87235884081,0.465089337969227,0.324106421750789,11
5682.61103154324,0.418332344739128,0.264589280253659,14
4230.18759178501,0.299098463868583,0.230609118163059,13
6494.51742217199,0.170789510331849,0.175700039364148,10
1122.60672624964,0.771879480783934,1.16018882174052,3
2634.37361340307,0.849741705228951,1.15889364660887,5
2321.12326374422,1.45748311465354,1.25203792365089,6
1893.02975271903,0.232637809681606,0.278438957509301,5
2805.92804219014,0.172527027426601,0.265668419797018,6
3338.90217376879,0.254411872406373,0.293783266183759,8
4785.57734934984,0.316232130357051,0.268109306154422,9
3319.51182999972,0.0876568203340743,0.0509386613355944,6
4630.02971358508,0.190554469518705,0.194507141434831,9
7608.31441261976,0.301034793028644,0.431458972633499,8
7846.80537355793,1.29385201905942,0.855723789878156,12
4892.13007614204,0.858261914279098,1.28078445452968,8
5327.11572779126,0.752191916828265,0.842779422350926,14
6804.53003888853,0.420128189328349,0.29463617524848,13
6843.21744987404,0.363746236709039,0.179317101361889,13
3401.47198514783,0.304273740447462,0.334094236325154,6
6424.02972753896,0.171729499899448,0.360119236420767,10
5709.4294740618,0.220355177826826,0.463556224207235,8
3105.30162555029,1.10796292943668,0.767545227963804,7
